EventName,Label,Default,FileName
GW200105_162426,C01:Mixed:NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:Mixed:NSBH:LowSpin.fits
GW200105_162426,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200105_162426,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin.fits
GW200105_162426,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin.fits
GW200112_155838,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200112_155838,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200112_155838,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200115_042309,C01:IMRPhenomNSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:HighSpin.fits
GW200115_042309,C01:IMRPhenomNSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:IMRPhenomNSBH:LowSpin.fits
GW200115_042309,C01:IMRPhenomXPHM:HighSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM:HighSpin.fits
GW200115_042309,C01:IMRPhenomXPHM:LowSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM:LowSpin.fits
GW200115_042309,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200115_042309,C01:Mixed:NSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:Mixed:NSBH:HighSpin.fits
GW200115_042309,C01:Mixed:NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:Mixed:NSBH:LowSpin.fits
GW200115_042309,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200115_042309,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:HighSpin.fits
GW200115_042309,C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin,False,IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_cosmo_reweight_C01:SEOBNRv4_ROM_NRTidalv2_NSBH:LowSpin.fits
GW200128_022011,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200128_022011,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_cosmo_reweight_C01:Mixed.fits
GW200128_022011,C01:SEOBNRv4PHM,False,IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_cosmo_reweight_C01:SEOBNRv4PHM.fits
GW200129_065458,C01:IMRPhenomXPHM,False,IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_cosmo_reweight_C01:IMRPhenomXPHM.fits
GW200129_065458,C01:Mixed,True,IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_cosmo_reweight_C01:Mixed.fits
