,ra,dec,ids,bands
111,285.9075670126712,-14.058053026483552,2025062300434,r
112,283.05049837967107,-13.563986634596228,2025062300435,r
113,281.08295030315196,-16.046191349386415,2025062300436,r
114,282.8515681293997,-22.008410736213335,2025062300438,r
115,281.95633505883586,-19.03630641015462,2025062300437,r
116,284.81255053764755,-27.898153357213193,2025062300440,r
117,283.7944014462369,-24.962742796318878,2025062300439,r
118,239.96285604307303,-31.316306048296102,2025062400121,r
119,243.27296154222316,-30.166407557077864,2025062400122,r
120,246.53947232723493,-31.59699048736844,2025062400123,r
121,246.53244030285182,-28.829539641560718,2025062400124,r
122,246.52588047828527,-26.07125139864659,2025062400125,r
123,243.34491154141526,-27.40552528379068,2025062400126,r
124,243.40930250108454,-24.651466631647562,2025062400127,r
125,246.51979412944786,-23.317668178170425,2025062400128,r
126,246.5135802884069,-20.555896241255166,2025062400129,r
127,243.4728717569455,-21.895708504575047,2025062400130,r
128,243.57230842143542,-19.100455031528213,2025062400131,r
129,246.50778933409205,-17.722348481585083,2025062400132,r
130,248.91027528034726,-16.02477714205907,2025062400133,r
131,244.09825148083326,-16.03383668610916,2025062400134,r
132,241.87104259786435,-13.792405600091826,2025062400135,r
133,239.09086524141435,-14.538584443972283,2025062400136,r
134,241.27400532967135,-16.865355470483017,2025062400137,r
135,238.49755566729218,-17.63834895432053,2025062400138,r
136,240.74854772345276,-19.96064817914759,2025062400139,r
137,237.92558481886536,-20.730688422264254,2025062400140,r
138,240.48413752562482,-22.885306198290245,2025062400141,r
139,240.13614866050233,-28.524320876928254,2025062400145,r
140,249.63581166126428,-24.639917804010363,2025062400146,g
141,249.71287212109226,-27.39365786471727,2025062400147,g
142,249.79843102203097,-30.154249214974737,2025062400148,g
143,252.92669746334445,-28.500521348681655,2025062400149,g
144,252.7476349596767,-25.69873226589266,2025062400150,g
145,252.55256613468802,-22.86277343287993,2025062400151,g
146,252.27578175237875,-19.939262325650255,2025062400152,g
147,251.73771587741987,-16.84586287987586,2025062400153,g
148,251.12878534671177,-13.775254087255407,2025062400154,g
149,247.96720306578032,-13.316575537687072,2025062400155,g
150,237.52554896492128,-23.716395955980232,2025062400142,r
151,237.20898357052482,-26.619557979678422,2025062400143,r
152,240.3019308648542,-25.72194488339073,2025062400144,r
153,246.49349237199212,-10.563926484883945,2025062400156,g
154,243.34454622360488,-11.01709483374219,2025062400157,g
155,240.19029515709073,-11.526837211132179,2025062400158,g
156,245.030701872174,-13.321956853804618,2025062400159,g
157,249.44878154079794,-19.08950393356686,2025062400160,g
